,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
1185,3.3,13.2,32.7,24.0,0.590908,0.68961,0.43,1458.0
1188,19.1,23.2,48.6,30.8,1.015451,0.82279,0.6466666666666666,1306.0
1189,0.0,19.2,40.3,30.2,0.9895295000000001,0.78016,0.42,1400.0
1193,1.0,13.8,23.7,13.6,0.6067845000000001,0.65933,0.66,1535.0
1196,0.7,10.0,13.0,3.5,0.679235,0.76313,0.52,1657.0
1206,13.9,15.6,33.3,20.4,0.7198025,0.73187,0.46,1541.0
1208,0.2,23.6,35.7,17.6,0.9645345,0.73771,0.4666666666666667,1348.0
1209,0.9,11.1,17.2,7.9,0.7081805,0.79836,0.5866666666666667,1613.0
1216,2.4,13.8,41.6,34.8,0.6449199999999999,0.65892,0.48000000000000004,1511.0
1221,3.5,18.5,40.5,30.7,0.6570225000000001,0.67521,0.4066666666666666,1500.0
1222,0.2,25.7,51.9,36.6,1.1337059999999999,0.6892,0.38,1306.0
1228,5.4,19.2,41.7,27.4,0.6256645000000001,0.75438,0.5233333333333333,1481.0
1238,0.3,10.3,19.1,10.7,0.548365,0.75527,0.61,1527.0
1244,0.1,11.3,18.1,8.7,0.663346,0.71532,0.4633333333333333,1584.0
1247,70.0,8.1,65.6,38.1,,,0.6066666666666667,1506.0
1251,0.5,12.7,26.2,16.6,0.773904,0.53763,0.43333333333333335,1524.0
1254,0.0,18.6,35.2,21.4,,,0.4,1630.0
1260,10.3,25.7,50.6,38.4,0.739002,0.64515,0.46,1489.0
1264,5.1,17.6,49.0,40.7,0.739002,0.64515,0.39333333333333337,1473.0
1277,4.3,16.7,34.8,23.6,0.7252,0.66619,0.5399999999999999,1433.0
1278,0.5,20.8,31.5,16.5,0.7252,0.66619,0.44666666666666666,1413.0
1283,44.8,14.8,53.6,37.9,,,0.7066666666666667,1359.0
1287,0.0,0.0,23.1,23.1,0.6665215,0.72643,0.30333333333333334,1664.0
1290,1.9,14.9,29.6,19.7,0.6665215,0.72643,0.5700000000000001,1509.0
1293,6.0,12.6,41.9,35.1,0.601229,0.68731,0.49,1508.0
1309,46.3,12.6,47.2,33.1,0.7326315,0.76182,0.5466666666666666,1432.0
1311,24.4,19.3,50.6,34.7,0.7326315,0.76182,0.5233333333333333,1459.0
1316,0.0,0.0,13.2,13.2,0.6838380000000001,0.61118,,1581.0
1317,1.3,16.4,46.5,40.3,0.6838380000000001,0.61118,0.4233333333333333,1506.0
1324,45.1,19.3,59.8,42.7,0.7602565,0.66818,0.52,1324.0
1331,2.1,18.1,22.1,5.9,0.5874055,0.70262,0.5733333333333334,1623.0
1340,60.4,10.1,54.1,38.4,0.6584355,0.78788,0.6566666666666666,1316.0
1346,0.5,14.4,21.2,8.9,,,0.6033333333333334,1608.0
1353,5.1,3.8,29.3,27.3,0.6503329999999999,0.71109,0.5366666666666667,1449.0
1355,1.4,16.7,26.9,13.3,0.765899,0.74556,0.44333333333333336,1561.0
1359,5.9,13.0,47.0,36.7,,,0.8533333333333334,1417.0
1367,33.8,24.5,62.7,45.4,0.8786155000000001,0.73185,0.4533333333333333,1437.0
1371,17.6,0.0,36.0,31.9,,,0.6,1459.0
1374,1.0,14.2,21.0,9.7,0.7112735,0.91022,0.48333333333333334,1558.0
1381,12.8,12.8,35.3,25.7,0.689461,0.69552,0.4633333333333333,1474.0
1388,1.0,12.3,19.1,10.0,0.6518904999999999,0.78313,0.62,1638.0
1393,3.1,14.9,26.8,14.6,0.6558,0.75935,0.58,1579.0
1398,18.5,12.5,18.0,6.2,0.7309405,0.78087,0.5066666666666666,1752.0
1400,0.9,24.0,33.3,13.1,0.9754379999999999,0.82948,0.5566666666666666,1407.0
1408,22.7,11.6,19.9,8.0,0.5988955,0.75488,0.5433333333333333,1665.0
1413,0.3,16.1,27.3,14.9,0.7083745,0.7906,0.6666666666666666,1568.0
1415,1.9,24.1,48.6,31.1,,,0.4033333333333333,1532.0
1420,1.4,9.8,21.5,13.9,0.7197725,0.62858,0.4633333333333333,1558.0
1429,57.4,16.9,58.0,39.6,0.873641,0.71541,0.4666666666666667,1406.0
1435,1.5,13.4,27.2,19.3,0.6954705,0.69927,0.41333333333333333,1511.0
1436,20.1,44.4,71.1,38.1,1.287878,0.7565,0.44666666666666666,1257.0
1437,27.0,15.7,38.0,14.5,,,0.6,1496.0
1438,0.2,30.8,47.6,25.6,1.0128834999999998,0.85595,0.43333333333333335,1354.0
1449,23.7,21.2,55.0,39.1,1.00241,0.81685,0.5366666666666667,1257.0
1451,4.1,18.2,41.8,29.5,1.0576709999999998,0.7066,0.3433333333333334,1515.0
1455,0.4,14.6,36.2,26.8,0.911116,0.72553,0.4633333333333333,1361.0
1458,2.4,19.0,30.0,16.8,0.645864,0.62747,0.51,1538.0
1460,1.5,11.8,39.6,32.8,0.60975,0.62539,0.5266666666666667,1521.0
